timestamp,processing_date,newsId,doc,section,section_name_list
2023-01-01,2025-07-22 00:13:50.511429,46004cb0-b6c7-417d-9a6a-f0b6e077d552,Processo seletivo da Famesp oferece 40 vagas para três cargos em vários campi da Unesp,-1,[]
2023-01-01,2025-07-22 00:13:50.511429,38198495-24a2-4f7f-9531-462524708acd,Feriados de 2023 em Ribeirão Preto SP veja datas de folgas prolongadas,0,"['réveillon', '2023', 'ano', 'fogos', 'show', 'festa', 'novo', 'queima', 'após', 'fotos']"
2023-01-01,2025-07-22 00:13:50.511429,fc13702c-0a86-474a-8aa3-56abee7918cf,Como acompanhar a posse pelo g1 pela TV Globo e pela GloboNews,0,"['réveillon', '2023', 'ano', 'fogos', 'show', 'festa', 'novo', 'queima', 'após', 'fotos']"
2023-01-01,2025-07-22 00:13:50.511429,61b5fc4f-a650-4b6a-8724-4049dbfa389a,Posse de Lula programação tem shows de Pabllo Vittar Duda Beat e Baianasystem veja horários e o que esperar do festival,0,"['réveillon', '2023', 'ano', 'fogos', 'show', 'festa', 'novo', 'queima', 'após', 'fotos']"
2023-01-01,2025-07-22 00:13:50.511429,9ff3c13e-c6ed-4657-ae45-5c133e478d45,Vila Belmiro se prepara para receber velório do Rei Pelé,3,"['lula', 'posse', 'bolsonaro', 'faixa', 'presidente', 'brasília', 'presidencial', 'discurso', 'assina', 'representantes']"
2023-01-01,2025-07-22 00:13:50.511429,6c796e42-128c-4e52-99eb-173774559282,Alerta de acumulado de chuvas é emitido pelo Inmet para cidades da Paraíba veja lista,0,"['réveillon', '2023', 'ano', 'fogos', 'show', 'festa', 'novo', 'queima', 'após', 'fotos']"
2023-01-01,2025-07-22 00:13:50.511429,322690ce-24da-466e-bef3-b3b7c4749adf,Saiba quem são os representantes do povo brasileiro que entregaram a faixa para Lula,3,"['lula', 'posse', 'bolsonaro', 'faixa', 'presidente', 'brasília', 'presidencial', 'discurso', 'assina', 'representantes']"
2023-01-01,2025-07-22 00:13:50.511429,b23bdc69-405a-4e1d-be21-fc1b9a8bbaf8,Começa a valer redução do ICMS para gás natural e etanol na Paraíba,0,"['réveillon', '2023', 'ano', 'fogos', 'show', 'festa', 'novo', 'queima', 'após', 'fotos']"
2023-01-01,2025-07-22 00:13:50.511429,dcceadfb-c7bf-4152-8eb7-9c0f796d2ebc,Após dois anos sem festa Manaus dá as boasvindas a 2023 com queima de fogos na Ponta Negra,0,"['réveillon', '2023', 'ano', 'fogos', 'show', 'festa', 'novo', 'queima', 'após', 'fotos']"
2023-01-01,2025-07-22 00:13:50.511429,f56acf4a-aa8e-494c-8a24-ffbeb80735e4,Mega da Virada Dona de lotérica brinca após acertar apenas 2 dos 20 números de bolão que custou mais de R 170 mil Tchau Maldivas,4,"['mega', 'virada', 'aposta', 'prêmio', 'mil', 'bolão', 'apostas', 'milhões', 'habitantes', 'brinca']"
2023-01-01,2025-07-22 00:13:50.511429,76a863ca-b133-4a2b-8d20-94dd5d0fd706,Veja quem são os secretários do governo Renato Casagrande no ES,1,"['governador', 'posse', 'toma', 'mandato', 'diz', 'segundo', 'governo', 'secretários', 'vai', 'neste']"
2023-01-01,2025-07-22 00:13:50.511429,ed89bfae-ab86-475c-be24-00261e6141bf,Primeiro dia de 2023 tem Bell Marques de graça em Maceió ,0,"['réveillon', '2023', 'ano', 'fogos', 'show', 'festa', 'novo', 'queima', 'após', 'fotos']"
2023-01-01,2025-07-22 00:13:50.511429,465181a8-efa2-4483-b3ab-cf390ecaf5ee,Juliano Maderada e Thiago Doidão cantam Tá na Hora do Jair já ir Embora no festival da posse de Lula,-1,[]
2023-01-01,2025-07-22 00:13:50.511429,3d29eebe-0342-48a2-abea-d890754998a6,Réveillon no Rio reúne 3 milhões de pessoas nas ruas,0,"['réveillon', '2023', 'ano', 'fogos', 'show', 'festa', 'novo', 'queima', 'após', 'fotos']"
2023-01-01,2025-07-22 00:13:50.511429,ee5a9046-9c3a-4ab6-adb2-e901979ed533,Inscrições para vagas de estágio em Boituva terminam nesta semana saiba como participar ,-1,[]
2023-01-01,2025-07-22 00:13:50.511429,57348ab5-86a9-46b1-8c18-72aa640d7908,Aposta da gaúcha Arroio do Sal de 11 mil habitantes é uma das vencedoras da Mega da Virada prêmio é de R 108 milhões,4,"['mega', 'virada', 'aposta', 'prêmio', 'mil', 'bolão', 'apostas', 'milhões', 'habitantes', 'brinca']"
2023-01-01,2025-07-22 00:13:50.511429,11e00e37-c493-430a-b5c3-537c8c92496a,Polícia Civil investiga morte de homem que teve corpo encontrado no mar da praia de Itapuã,2,"['morre', 'após', 'homem', 'morto', 'anos', 'suspeito', 'jovem', 'durante', 'polícia', 'réveillon']"
2023-01-01,2025-07-22 00:13:50.511429,8e6a06ac-696c-4b00-ab48-167b069e4a39,Homem acusado de estuprar e esfaquear mulher na frente da filha no Natal é preso no Rio,2,"['morre', 'após', 'homem', 'morto', 'anos', 'suspeito', 'jovem', 'durante', 'polícia', 'réveillon']"
2023-01-01,2025-07-22 00:13:50.511429,3421c6dd-9c2f-471c-a46a-de5a02ba0ddb,"
Casal morre após bater carro em mureta do Viaduto da Duca Serra na  Zona Oeste de Macapá ",2,"['morre', 'após', 'homem', 'morto', 'anos', 'suspeito', 'jovem', 'durante', 'polícia', 'réveillon']"
2023-01-01,2025-07-22 00:13:50.511429,dcc23fed-de8f-4e2b-9958-b20b1627ff30,Seis anos e meio após ser afastada do governo Dilma volta ao Planalto para a posse de Lula,3,"['lula', 'posse', 'bolsonaro', 'faixa', 'presidente', 'brasília', 'presidencial', 'discurso', 'assina', 'representantes']"
2023-01-01,2025-07-22 00:13:50.511429,5147c2af-baee-4159-97c3-ba90afcfcdf6,Primeiro bebê nascido na rede pública do DF em 2023 é menina Melinda Renatta,5,"['bebê', 'primeiro', '2023', 'nascido', 'menina', 'conheça', 'nascer', 'renatta', 'rede', 'pública']"
2023-01-01,2025-07-22 00:13:50.511429,d49767b1-65b9-48c5-b4b9-7efdffbd5d64,Concursos e seleções em PE oferecem 1520 vagas de emprego com salários de até R 6 mil saiba como se inscrever,-1,[]
2023-01-01,2025-07-22 00:13:50.511429,714303d0-7049-445f-a483-a9af34ff587c,5G chega em São José dos Campos em janeiro saiba o que é o que muda e o que precisa ser feito,0,"['réveillon', '2023', 'ano', 'fogos', 'show', 'festa', 'novo', 'queima', 'após', 'fotos']"
2023-01-01,2025-07-22 00:13:50.511429,9f537d85-6fd4-4e87-90b8-5a7dc37c4e3c,Lula assina MPs para pagar R 600 no Bolsa Família e desonerar de combustíveis,3,"['lula', 'posse', 'bolsonaro', 'faixa', 'presidente', 'brasília', 'presidencial', 'discurso', 'assina', 'representantes']"
2023-01-01,2025-07-22 00:13:50.511429,3ae76136-e123-4244-ab9e-c6d97af7edeb,Música animação e queima de fogos veja imagens da festa de Réveillon em Palmas,0,"['réveillon', '2023', 'ano', 'fogos', 'show', 'festa', 'novo', 'queima', 'após', 'fotos']"
2023-01-01,2025-07-22 00:13:50.511429,7aa24840-5b5a-440a-8ce0-8ca0c02b7a5c,Guarda tem mal súbito e morre durante ocorrência em Cordeirópolis,2,"['morre', 'após', 'homem', 'morto', 'anos', 'suspeito', 'jovem', 'durante', 'polícia', 'réveillon']"
2023-01-01,2025-07-22 00:13:50.511429,4d693647-eaf7-4385-a5dc-33870a272dde,Posse do governador eleito de SC Jorginho Mello ocorre neste domingo,1,"['governador', 'posse', 'toma', 'mandato', 'diz', 'segundo', 'governo', 'secretários', 'vai', 'neste']"
2023-01-01,2025-07-22 00:13:50.511429,8466f103-024f-4c27-a55c-37372aeb918b,Humorista Filipe Pontes nega agressão à mãe mulher diz que apartou briga entre ele e irmão em Ribeirão Preto SP,2,"['morre', 'após', 'homem', 'morto', 'anos', 'suspeito', 'jovem', 'durante', 'polícia', 'réveillon']"
2023-01-01,2025-07-22 00:13:50.511429,654b9676-4e35-4ee9-b2f4-c25d59cb73a0,Homem morre ao perder controle de moto e bater em poste na zona Oeste de Boa Vista,2,"['morre', 'após', 'homem', 'morto', 'anos', 'suspeito', 'jovem', 'durante', 'polícia', 'réveillon']"
2023-01-01,2025-07-22 00:13:50.511429,b0329ed0-b70f-401a-96cf-2f1841a1dfef,Com segurança reforçada representantes do mundo todo desembarcam no Brasil para posse de Lula,3,"['lula', 'posse', 'bolsonaro', 'faixa', 'presidente', 'brasília', 'presidencial', 'discurso', 'assina', 'representantes']"
2023-01-01,2025-07-22 00:13:50.511429,20e33058-8cba-45fc-bda4-4dd4690bc777,Quanto rende o prêmio de R 108 milhões do rateio da Mega da Virada em investimentos,4,"['mega', 'virada', 'aposta', 'prêmio', 'mil', 'bolão', 'apostas', 'milhões', 'habitantes', 'brinca']"
2023-01-01,2025-07-22 00:13:50.511429,68cb1178-910e-424d-947b-8a102060ca6c,Fotos veja como foi a posse do governador de Sergipe,1,"['governador', 'posse', 'toma', 'mandato', 'diz', 'segundo', 'governo', 'secretários', 'vai', 'neste']"
2023-01-01,2025-07-22 00:13:50.511429,12fdfa53-c3a6-40ea-a999-23513952385d,Primeiro bebê a nascer no Hospital da Criança e Maternidade de Rio Preto é menino,5,"['bebê', 'primeiro', '2023', 'nascido', 'menina', 'conheça', 'nascer', 'renatta', 'rede', 'pública']"
2023-01-01,2025-07-22 00:13:50.511429,18c81f74-0bce-4e07-a32e-805df36037b7,Pastor Kleber Lucas fala após show na posse Evangélicos nunca cresceram tanto no Brasil quanto no período do presidente Lula,3,"['lula', 'posse', 'bolsonaro', 'faixa', 'presidente', 'brasília', 'presidencial', 'discurso', 'assina', 'representantes']"
2023-01-01,2025-07-22 00:13:50.511429,c452b4d7-9669-4b99-aa1c-944f18409ed5,Dois homens ficam feridos após serem baleados em frente à uma padaria em Carbonita,2,"['morre', 'após', 'homem', 'morto', 'anos', 'suspeito', 'jovem', 'durante', 'polícia', 'réveillon']"
2023-01-01,2025-07-22 00:13:50.511429,40d012ba-e367-43e0-9158-6e4d23f0d1a0,Réveillon em Santos tem homenagem feita com drones à Pelé e show de fogos veja,0,"['réveillon', '2023', 'ano', 'fogos', 'show', 'festa', 'novo', 'queima', 'após', 'fotos']"
2023-01-01,2025-07-22 00:13:50.511429,ae563d4a-bae7-40f1-aecb-6c7c22d56b51,Junior Lima apronta disco e se lança em carreira solo em 2023,-1,[]
2023-01-01,2025-07-22 00:13:50.511429,40589bf7-1c00-4efd-95a6-c4a90434f2c2,Homem morre afogado na Praia da Ponta Negra em Manaus ,2,"['morre', 'após', 'homem', 'morto', 'anos', 'suspeito', 'jovem', 'durante', 'polícia', 'réveillon']"
2023-01-01,2025-07-22 00:13:50.511429,44c8f314-e331-40b3-b522-8c3dae9a85ed,Primeiro bebê a nascer no Pará veio ao mundo aos 4 minutos de 2023,5,"['bebê', 'primeiro', '2023', 'nascido', 'menina', 'conheça', 'nascer', 'renatta', 'rede', 'pública']"
2023-01-01,2025-07-22 00:13:50.511429,757241db-5cf3-4837-be23-97cf2ec9f5de,É real isso prédios tortos em Santos assustam brasileiros e viralizam na web entenda ,3,"['lula', 'posse', 'bolsonaro', 'faixa', 'presidente', 'brasília', 'presidencial', 'discurso', 'assina', 'representantes']"
2023-01-01,2025-07-22 00:13:50.511429,20c1ca06-8440-4f3c-8de8-629c1e71baf9,Indígenas entram em espelho dágua para aliviar calor durante posse de Lula,3,"['lula', 'posse', 'bolsonaro', 'faixa', 'presidente', 'brasília', 'presidencial', 'discurso', 'assina', 'representantes']"
2023-01-01,2025-07-22 00:13:50.511429,dfcc2045-ff0b-4675-891a-95344c6bf344,Raquel Lyra recebe de Paulo Câmara cargo de governadora de PE e discursa no Palácio do Campo das Princesas veja íntegra,1,"['governador', 'posse', 'toma', 'mandato', 'diz', 'segundo', 'governo', 'secretários', 'vai', 'neste']"
2023-01-01,2025-07-22 00:13:50.511429,376e71db-af5b-4655-9d33-bea1c9ebf1f8,Sine oferta empregos em 7 áreas em Macapá veja as vagas para 2 de janeiro,-1,[]
2023-01-01,2025-07-22 00:13:50.511429,a26cdcf4-8153-43cd-86ba-80ed0e1eaeb8,Vamos começar o ano repensando o currículo dos cursos de medicina,0,"['réveillon', '2023', 'ano', 'fogos', 'show', 'festa', 'novo', 'queima', 'após', 'fotos']"
2023-01-01,2025-07-22 00:13:50.511429,c674170b-669f-499f-9958-066cba10aabe,Professora Magda Soares referência na área da alfabetização morre aos 90 anos ,2,"['morre', 'após', 'homem', 'morto', 'anos', 'suspeito', 'jovem', 'durante', 'polícia', 'réveillon']"
2023-01-01,2025-07-22 00:13:50.511429,f596905a-8c9c-4f2e-a7a1-1b592fa779de,Maduro cancela vinda ao Brasil para posse de Lula,3,"['lula', 'posse', 'bolsonaro', 'faixa', 'presidente', 'brasília', 'presidencial', 'discurso', 'assina', 'representantes']"
2023-01-01,2025-07-22 00:13:50.511429,02686435-9f5c-4d09-8af9-64f944ee36f1,Dori Caymmi Edu Lobo  e Marcos Valle festejam 80 anos em 2023 ,0,"['réveillon', '2023', 'ano', 'fogos', 'show', 'festa', 'novo', 'queima', 'após', 'fotos']"
2023-01-01,2025-07-22 00:13:50.511429,f654bc1d-a9ef-423c-85c5-6345104f723d,Ibaneis Rocha toma posse para segundo mandato como governador do DF Precisamos gerar renda e desenvolvimento,1,"['governador', 'posse', 'toma', 'mandato', 'diz', 'segundo', 'governo', 'secretários', 'vai', 'neste']"
2023-01-01,2025-07-22 00:13:50.511429,62f978b5-d4d5-47cb-9fd1-dc6b461e596d,Homem morre após capotamento na BR262 em Pará de Minas,2,"['morre', 'após', 'homem', 'morto', 'anos', 'suspeito', 'jovem', 'durante', 'polícia', 'réveillon']"
2023-01-01,2025-07-22 00:13:50.511429,d9692e63-085a-494e-9b14-73293ed504f4,Rondônia registrou 635 mortes por Covid em 2022 no ano anterior foram mais de 4 mil,2,"['morre', 'após', 'homem', 'morto', 'anos', 'suspeito', 'jovem', 'durante', 'polícia', 'réveillon']"
2023-01-01,2025-07-22 00:13:50.511429,73e2a4ac-65df-4d53-b912-383c0b31e849,Baixada Santista celebra a chegada de 2023 com queima de fogos,0,"['réveillon', '2023', 'ano', 'fogos', 'show', 'festa', 'novo', 'queima', 'após', 'fotos']"
2023-01-01,2025-07-22 00:13:50.511429,a54d8b59-97cc-4428-9063-732cd2434b9e,Posse do presidente Lula em 100 FOTOS,3,"['lula', 'posse', 'bolsonaro', 'faixa', 'presidente', 'brasília', 'presidencial', 'discurso', 'assina', 'representantes']"
2023-01-01,2025-07-22 00:13:50.511429,033e28f7-71ba-4ee1-8459-2a8ef882b210,Lula chega à Catedral e sobe no RollsRoyce com Janja Alckmin e Lu para desfile em carro aberto,3,"['lula', 'posse', 'bolsonaro', 'faixa', 'presidente', 'brasília', 'presidencial', 'discurso', 'assina', 'representantes']"
2023-01-01,2025-07-22 00:13:50.511429,eea7c350-ac97-45c6-85f1-d1b86e95bebf,Homem é morto a tiros na noite de réveillon em Araçatuba sobrinho é suspeito de cometer o crime  ,2,"['morre', 'após', 'homem', 'morto', 'anos', 'suspeito', 'jovem', 'durante', 'polícia', 'réveillon']"
2023-01-01,2025-07-22 00:13:50.511429,ecf19dcf-4a94-4369-9865-a38a931d51ba,Corpo de homem de 26 anos desaparecido no Rio Paraná é encontrado em Presidente Epitácio,2,"['morre', 'após', 'homem', 'morto', 'anos', 'suspeito', 'jovem', 'durante', 'polícia', 'réveillon']"
2023-01-01,2025-07-22 00:13:50.511429,2782846b-b207-4f75-b8c0-480e2fa07278,Após perseguição rapaz de 18 anos suspeito de dirigir moto roubada sem CNH é preso em Piracicaba,2,"['morre', 'após', 'homem', 'morto', 'anos', 'suspeito', 'jovem', 'durante', 'polícia', 'réveillon']"
2023-01-01,2025-07-22 00:13:50.511429,53d1984b-e1fe-49f4-90a8-841103eb6fa6,Governador de MG Romeu Zema e vice Mateus Simões tomam posse neste domingo,1,"['governador', 'posse', 'toma', 'mandato', 'diz', 'segundo', 'governo', 'secretários', 'vai', 'neste']"
2023-01-01,2025-07-22 00:13:50.511429,c0825c9e-f2e2-4aca-98c8-3638612d84ab,Acidente deixa motociclista morto e mais 5 pessoas feridas na BR230 em João Pessoa ,2,"['morre', 'após', 'homem', 'morto', 'anos', 'suspeito', 'jovem', 'durante', 'polícia', 'réveillon']"
2023-01-01,2025-07-22 00:13:50.511429,c9e44b98-c9fb-442c-94a0-5408e83d958c,Após festas de fim de ano vacinação contra a Covid e gripe será retomada nesta segundafeira 2 confira o cronograma,0,"['réveillon', '2023', 'ano', 'fogos', 'show', 'festa', 'novo', 'queima', 'após', 'fotos']"
2023-01-01,2025-07-22 00:13:50.511429,e8539bf6-4171-42e3-bf94-19fc8249e528,Restrições para caminhões na BR277 e BR376 no Paraná terminam às 12h nesta segunda 2,-1,[]
2023-01-01,2025-07-22 00:13:50.511429,f05127df-c76c-4dbf-b616-50fd5de558b1,O que Lula falou sobre Bolsonaro direta ou indiretamente em seu discurso mortes na pandemia armas fake news e Amazônia,3,"['lula', 'posse', 'bolsonaro', 'faixa', 'presidente', 'brasília', 'presidencial', 'discurso', 'assina', 'representantes']"
2023-01-01,2025-07-22 00:13:50.511429,b9cf1b56-feaa-48a3-abff-b687a441eccb,Jovem é morto por adolescentes de 15 e 17 anos com facada no peito em Alenquer,2,"['morre', 'após', 'homem', 'morto', 'anos', 'suspeito', 'jovem', 'durante', 'polícia', 'réveillon']"
2023-01-01,2025-07-22 00:13:50.511429,6c40f166-d204-4aac-b013-f5862c3cd808,Foragido da Justiça é preso ao tentar entrar no Festival Virada Salvador,2,"['morre', 'após', 'homem', 'morto', 'anos', 'suspeito', 'jovem', 'durante', 'polícia', 'réveillon']"
2023-01-01,2025-07-22 00:13:50.511429,9b13e80a-1a27-44a0-94aa-1d22d42dbd65,Nova legislação trabalhista fim de filas no INSS revogação dos decretos de armas e do teto de gastos veja principais pontos do discurso de posse de Lula,3,"['lula', 'posse', 'bolsonaro', 'faixa', 'presidente', 'brasília', 'presidencial', 'discurso', 'assina', 'representantes']"
2023-01-01,2025-07-22 00:13:50.511429,f7317b20-b7bb-49af-a74a-056ebfb819d1,Cinco pessoas são socorridas após afogamento na Praia do Pina e uma delas morre no local,2,"['morre', 'após', 'homem', 'morto', 'anos', 'suspeito', 'jovem', 'durante', 'polícia', 'réveillon']"
2023-01-01,2025-07-22 00:13:50.511429,33335b7b-e649-4a70-8834-5cad85806825,Veja a íntegra do discurso de posse de Cláudio Castro como governador reeleito do RJ,1,"['governador', 'posse', 'toma', 'mandato', 'diz', 'segundo', 'governo', 'secretários', 'vai', 'neste']"
2023-01-01,2025-07-22 00:13:50.511429,559bbf3a-47ba-4a8b-b56d-4385ae08c6c9,Senador de MT toma posse como ministro da Agricultura no governo Lula,1,"['governador', 'posse', 'toma', 'mandato', 'diz', 'segundo', 'governo', 'secretários', 'vai', 'neste']"
2023-01-01,2025-07-22 00:13:50.511429,94bb28c0-aa04-4687-91a2-33b4f312a005,Entenda como funciona a arma que derrubou drone suspeito durante a posse de Lula,3,"['lula', 'posse', 'bolsonaro', 'faixa', 'presidente', 'brasília', 'presidencial', 'discurso', 'assina', 'representantes']"
2023-01-01,2025-07-22 00:13:50.511429,19b08ca3-5dd0-4a93-8bb3-8ebf03ba8866,Nova mesa diretora da Câmara de Natal toma posse para biênio 20232024,1,"['governador', 'posse', 'toma', 'mandato', 'diz', 'segundo', 'governo', 'secretários', 'vai', 'neste']"
2023-01-01,2025-07-22 00:13:50.511429,1da5d366-cb1e-4418-bd4f-768d6c4a6286,Nuvem funil surpreende moradores em cidade de Goiás entenda o fenômeno,0,"['réveillon', '2023', 'ano', 'fogos', 'show', 'festa', 'novo', 'queima', 'após', 'fotos']"
2023-01-01,2025-07-22 00:13:50.511429,38b96bcf-7360-4e84-b216-47223e760489,Com orçamento de R 200 bilhões Wellington diz que vai trabalhar quatro eixos no Desenvolvimento Social,1,"['governador', 'posse', 'toma', 'mandato', 'diz', 'segundo', 'governo', 'secretários', 'vai', 'neste']"
2023-01-01,2025-07-22 00:13:50.511429,03bf4786-32a2-42ca-acb7-731422fdb793,Após assumir governo da Bahia Jerônimo Rodrigues acompanha posse do presidente Lula em Brasília,3,"['lula', 'posse', 'bolsonaro', 'faixa', 'presidente', 'brasília', 'presidencial', 'discurso', 'assina', 'representantes']"
2023-01-01,2025-07-22 00:13:50.511429,5ed17ede-bc6f-4bb2-a320-4ebfbb4071ab,Conservatório de Tatuí promove curso de música moçambicana e norueguesa ministrado por intercambistas ,0,"['réveillon', '2023', 'ano', 'fogos', 'show', 'festa', 'novo', 'queima', 'após', 'fotos']"
2023-01-01,2025-07-22 00:13:50.511429,3ef80c43-bce4-4096-ae8a-2600e86cf26c,Conheça Athos Benjamym primeiro bebê que nasceu na capital em 2023,5,"['bebê', 'primeiro', '2023', 'nascido', 'menina', 'conheça', 'nascer', 'renatta', 'rede', 'pública']"
2023-01-01,2025-07-22 00:13:50.511429,1ce1b68a-7ed0-4cd8-ad6b-3bb2da055b0b,MegaSena da Virada 2022 Até 90 apostadores poderão dividir prêmio por conta de bolões,4,"['mega', 'virada', 'aposta', 'prêmio', 'mil', 'bolão', 'apostas', 'milhões', 'habitantes', 'brinca']"
2023-01-01,2025-07-22 00:13:50.511429,b6882a8b-fb14-4ede-ad9e-c526493ab66a,Governo da Bahia anuncia reajuste de 1173 na conta de água,0,"['réveillon', '2023', 'ano', 'fogos', 'show', 'festa', 'novo', 'queima', 'após', 'fotos']"
2023-01-01,2025-07-22 00:13:50.511429,70888cc2-c81e-4b60-b07d-766c114c7156,DEMOCRACIA PARA SEMPRE,1,"['governador', 'posse', 'toma', 'mandato', 'diz', 'segundo', 'governo', 'secretários', 'vai', 'neste']"
2023-01-01,2025-07-22 00:13:50.511429,6b168928-4848-4480-83fe-cbb4c7bf3c89,Festa de réveillon deixa mais de 46 toneladas de lixo na Orla da Atalaia em Aracaju,0,"['réveillon', '2023', 'ano', 'fogos', 'show', 'festa', 'novo', 'queima', 'após', 'fotos']"
